ID,dt,DRk,ExtraExpVolStudy,Vts,gflow,gfhigh,distsalivavirusconc,SpeakontoSurf,Roomheight,RoomairflowNFFF,Roomvolumemin,Roomvolumemax,RoomACHmin,RoomACHmax,RoomUVCpurificationinroom,RoomUVCmaxflowrate,RoomUVCeffmin,RoomUVCeffmax,Roomwindowsopen,Roomwindspeedmin,Roomwindspeedmax,RoomsoaW,RoomsoaH,RoomsoaP,RoomNFw,RoomNFh,RoomNFd,Infected,InfStageofInfection,Infcoughrateperhourmin,Infcoughrateperhourmax,Infcoughrateperhourmode,InfCsprayprobmin,InfCsprayprobmax,InfCsprayprobmode,InfCexhaleprobmin,InfCexhaleprobmax,InfCexhaleprobmode,InfsurfacesNF,InfsurfacesFF,Infactivity,Infnonsilenttime,Infsalivastudy,InfsalivaIwasakimin,InfsalivaIwasakimax,InfsalivaChenshape,InfsalivaChenscale,InfEairTalkSmean,InfEairTalkSsd,Sufinger,Suface,Sueye,SuFFtimemin,SuFFtimemax,SuTmaxa,SuTmaxb,SuTmaxc,INACTIVaira,INACTIVairb,INACTIVairc,INACTIVsurfacea,INACTIVsurfaceb,INACTIVsurfacec,INACTIVskinmean,INACTIVskinsd,TRANSsurface.skinshape,TRANSsurface.skinscale,TRANSskin.abs,CONTACTsurfaceNF.handa,CONTACTsurfaceNF.handb,CONTACTsurfaceNF.handc,CONTACTsurfaceFF.handa,CONTACTsurfaceFF.handb,CONTACTsurfaceFF.handc,CONTACTface.handsize,CONTACTface.handmu,SuTARGETmin,SuTARGETmax,SuCeyeprob,SuCSPRAYprobmin,SuCSPRAYprobmax,SuCSPRAYprobmode,SuCinhaleprobmin,SuCinhaleprobmax,SuCinhaleprobmode,SuChandtouchmin,SuChandtouchmax,SuChandtouchmode,SuCfomiteprobmin,SuCfomiteprobmax,SuCfomiteprobmode,SuSPRAYprob,Su
Meetingroom1,0.001,410,Duguid,0.000285,130,130,equal,Y,2.75,3.7,110,112,3.2,3.6,N,,,,N,,,,,,2,2,2.75,1,Peak,0,0,0,1,1,1,1,1,1,18000,4500,resting-speaking,0.5,Chen,0,8.671451,3.47,7.01,7,0.7,10,10,5.2,40,60,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,,370,720,479,74,720,96,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1
Meetingroom1_cough,0.001,410,Duguid,0.000285,130,130,equal,Y,2.75,3.7,110,112,3.2,3.6,N,,,,N,,,,,,2,2,2.75,1,Peak,1,5,3,1,1,1,1,1,1,18000,4500,resting-speaking,0.5,Chen,0,8.671451,3.47,7.01,7,0.7,10,10,5.2,40,60,115,125,120,0.096,0.42,0.253,0.036,0.053,0.044,71.9,23.5,0.94,0.23,,370,720,479,74,720,96,0.54,8.58,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.05,1
